timestamp,vehicle_speed,target_speed,throttle_cmd,brake_cmd,pid_error,acceleration,fuel_consumption,engine_power
22.8000,14.6914,16.6700,13.6614,0.0000,1.9786,0.1055,8.4542,7.0247
22.9000,14.7019,16.6700,13.6414,0.0000,1.9681,0.1050,8.4318,7.0194
23.0000,14.7124,16.6700,13.6214,0.0000,1.9576,0.1044,8.4096,7.0141
23.1000,14.7228,16.6700,13.6016,0.0000,1.9472,0.1038,8.3876,7.0089
23.2000,14.7332,16.6700,13.5819,0.0000,1.9368,0.1033,8.3658,7.0036
23.3000,14.7435,16.6700,13.5623,0.0000,1.9265,0.1027,8.3442,6.9984
23.4000,14.7537,16.6700,13.5428,0.0000,1.9163,0.1022,8.3228,6.9932
23.5000,14.7639,16.6700,13.5234,0.0000,1.9061,0.1017,8.3015,6.9880
23.6000,14.7740,16.6700,13.5041,0.0000,1.8960,0.1011,8.2805,6.9829
23.7000,14.7841,16.6700,13.4849,0.0000,1.8859,0.1006,8.2596,6.9777
23.8000,14.7942,16.6700,13.4658,0.0000,1.8758,0.1000,8.2389,6.9725
23.9000,14.8041,16.6700,13.4469,0.0000,1.8659,0.0995,8.2183,6.9674
24.0000,14.8140,16.6700,13.4280,0.0000,1.8560,0.0990,8.1980,6.9623
24.1000,14.8239,16.6700,13.4092,0.0000,1.8461,0.0984,8.1777,6.9572
24.2000,14.8337,16.6700,13.3906,0.0000,1.8363,0.0979,8.1577,6.9521
24.3000,14.8435,16.6700,13.3720,0.0000,1.8265,0.0974,8.1378,6.9471
24.4000,14.8532,16.6700,13.3536,0.0000,1.8168,0.0969,8.1181,6.9420
24.5000,14.8629,16.6700,13.3352,0.0000,1.8071,0.0964,8.0986,6.9370
24.6000,14.8725,16.6700,13.3170,0.0000,1.7975,0.0958,8.0792,6.9320
24.7000,14.8820,16.6700,13.2988,0.0000,1.7880,0.0953,8.0599,6.9270
24.8000,14.8915,16.6700,13.2808,0.0000,1.7785,0.0948,8.0409,6.9220
24.9000,14.9010,16.6700,13.2628,0.0000,1.7690,0.0943,8.0219,6.9170
25.0000,14.9104,16.6700,13.2450,0.0000,1.7596,0.0938,8.0031,6.9121
25.1000,14.9198,16.6700,13.2272,0.0000,1.7502,0.0933,7.9845,6.9071
25.2000,14.9291,16.6700,13.2096,0.0000,1.7409,0.0928,7.9660,6.9022
25.3000,14.9383,16.6700,13.1920,0.0000,1.7317,0.0923,7.9477,6.8973
25.4000,14.9475,16.6700,13.1746,0.0000,1.7225,0.0918,7.9295,6.8924
25.5000,14.9567,16.6700,13.1572,0.0000,1.7133,0.0914,7.9114,6.8876
25.6000,14.9658,16.6700,13.1399,0.0000,1.7042,0.0909,7.8935,6.8827
25.7000,14.9748,16.6700,13.1227,0.0000,1.6952,0.0904,7.8757,6.8779
25.8000,14.9839,16.6700,13.1057,0.0000,1.6861,0.0899,7.8581,6.8731
25.9000,14.9928,16.6700,13.0887,0.0000,1.6772,0.0894,7.8405,6.8683
26.0000,15.0017,16.6700,13.0718,0.0000,1.6683,0.0889,7.8231,6.8635
26.1000,15.0106,16.6700,13.0550,0.0000,1.6594,0.0885,7.8059,6.8587
